trial_id,listener_id,a_or_b_preferred,a_defects_observed,b_defects_observed,free_text_notes
ctl-020-t1,L1,equivalent,none,none,
ctl-020-t2,L1,equivalent,none,none,
l-020-t1,L1,equivalent,none,none,
l-020-t2,L1,equivalent,none,none,
l-021-t1,L1,equivalent,none,none,
l-021-t2,L1,equivalent,none,none,
m-020-t1,L1,equivalent,none,none,
m-020-t2,L1,equivalent,none,none,
m-021-t1,L1,equivalent,none,none,
m-021-t2,L1,equivalent,none,none,
s-020-t1,L1,equivalent,none,none,
s-020-t2,L1,equivalent,none,none,
s-021-t1,L1,equivalent,none,none,
s-021-t2,L1,equivalent,none,none,
s-022-t1,L1,equivalent,none,none,
s-022-t2,L1,equivalent,none,none,
